observation_date,MORTGAGE15US
2010-06-17,4.20
2010-06-24,4.13
2010-07-01,4.04
2010-07-08,4.07
2010-07-15,4.06
2010-07-22,4.03
2010-07-29,4.00
2010-08-05,3.95
2010-08-12,3.92
2010-08-19,3.90
2010-08-26,3.86
2010-09-02,3.83
2010-09-09,3.83
2010-09-16,3.82
2010-09-23,3.82
2010-09-30,3.75
2010-10-07,3.72
2010-10-14,3.62
2010-10-21,3.64
2010-10-28,3.66
2010-11-04,3.63
2010-11-11,3.57
2010-11-18,3.76
2010-11-24,3.77
2010-12-02,3.81
2010-12-09,3.96
2010-12-16,4.17
2010-12-23,4.15
2010-12-30,4.20
2011-01-06,4.13
2011-01-13,4.08
2011-01-20,4.05
2011-01-27,4.09
2011-02-03,4.08
2011-02-10,4.29
2011-02-17,4.27
2011-02-24,4.22
2011-03-03,4.15
2011-03-10,4.15
2011-03-17,3.97
2011-03-24,4.04
2011-03-31,4.09
2011-04-07,4.10
2011-04-14,4.13
2011-04-21,4.02
2011-04-28,3.97
2011-05-05,3.89
2011-05-12,3.82
2011-05-19,3.80
2011-05-26,3.78
2011-06-02,3.74
2011-06-09,3.68
2011-06-16,3.67
2011-06-23,3.69
2011-06-30,3.69
2011-07-07,3.75
2011-07-14,3.65
2011-07-21,3.66
2011-07-28,3.66
2011-08-04,3.54
2011-08-11,3.50
2011-08-18,3.36
2011-08-25,3.44
2011-09-01,3.39
2011-09-08,3.33
2011-09-15,3.30
2011-09-22,3.29
2011-09-29,3.28
2011-10-06,3.26
2011-10-13,3.37
2011-10-20,3.38
2011-10-27,3.38
2011-11-03,3.31
2011-11-10,3.30
2011-11-17,3.31
2011-11-23,3.30
2011-12-01,3.30
2011-12-08,3.27
2011-12-15,3.21
2011-12-22,3.21
2011-12-29,3.24
2012-01-05,3.23
2012-01-12,3.16
2012-01-19,3.17
2012-01-26,3.24
2012-02-02,3.14
2012-02-09,3.16
2012-02-16,3.16
2012-02-23,3.19
2012-03-01,3.17
2012-03-08,3.13
2012-03-15,3.16
2012-03-22,3.30
2012-03-29,3.23
2012-04-05,3.21
2012-04-12,3.11
2012-04-19,3.13
2012-04-26,3.12
2012-05-03,3.07
2012-05-10,3.05
2012-05-17,3.04
2012-05-24,3.04
2012-05-31,2.97
2012-06-07,2.94
2012-06-14,2.98
2012-06-21,2.95
2012-06-28,2.94
2012-07-05,2.89
2012-07-12,2.86
2012-07-19,2.83
2012-07-26,2.80
2012-08-02,2.83
2012-08-09,2.84
2012-08-16,2.88
2012-08-23,2.89
2012-08-30,2.86
2012-09-06,2.86
2012-09-13,2.85
2012-09-20,2.77
2012-09-27,2.73
2012-10-04,2.69
2012-10-11,2.70
2012-10-18,2.66
2012-10-25,2.72
2012-11-01,2.70
2012-11-08,2.69
2012-11-15,2.65
2012-11-21,2.63
2012-11-29,2.64
2012-12-06,2.67
2012-12-13,2.66
2012-12-20,2.65
2012-12-27,2.65
2013-01-03,2.64
2013-01-10,2.66
2013-01-17,2.66
2013-01-24,2.71
2013-01-31,2.81
2013-02-07,2.77
2013-02-14,2.77
2013-02-21,2.77
2013-02-28,2.76
2013-03-07,2.76
2013-03-14,2.79
2013-03-21,2.72
2013-03-28,2.76
2013-04-04,2.74
2013-04-11,2.65
2013-04-18,2.64
2013-04-25,2.61
2013-05-02,2.56
2013-05-09,2.61
2013-05-16,2.69
2013-05-23,2.77
2013-05-30,2.98
2013-06-06,3.03
2013-06-13,3.10
2013-06-20,3.04
2013-06-27,3.50
2013-07-03,3.39
2013-07-11,3.53
2013-07-18,3.41
2013-07-25,3.39
2013-08-01,3.43
2013-08-08,3.43
2013-08-15,3.44
2013-08-22,3.60
2013-08-29,3.54
2013-09-05,3.59
2013-09-12,3.59
2013-09-19,3.54
2013-09-26,3.37
2013-10-03,3.29
2013-10-10,3.31
2013-10-17,3.33
2013-10-24,3.24
2013-10-31,3.20
2013-11-07,3.27
2013-11-14,3.35
2013-11-21,3.27
2013-11-27,3.30
2013-12-05,3.47
2013-12-12,3.43
2013-12-19,3.51
2013-12-26,3.52
2014-01-02,3.55
2014-01-09,3.56
2014-01-16,3.45
2014-01-23,3.44
2014-01-30,3.40
2014-02-06,3.33
2014-02-13,3.33
2014-02-20,3.35
2014-02-27,3.39
2014-03-06,3.32
2014-03-13,3.38
2014-03-20,3.32
2014-03-27,3.42
2014-04-03,3.47
2014-04-10,3.38
2014-04-17,3.33
2014-04-24,3.39
2014-05-01,3.38
2014-05-08,3.32
2014-05-15,3.29
2014-05-22,3.25
2014-05-29,3.21
2014-06-05,3.23
2014-06-12,3.31
2014-06-19,3.30
2014-06-26,3.22
2014-07-03,3.22
2014-07-10,3.24
2014-07-17,3.23
2014-07-24,3.26
2014-07-31,3.23
2014-08-07,3.27
2014-08-14,3.24
2014-08-21,3.23
2014-08-28,3.25
2014-09-04,3.24
2014-09-11,3.26
2014-09-18,3.37
2014-09-25,3.36
2014-10-02,3.36
2014-10-09,3.30
2014-10-16,3.18
2014-10-23,3.08
2014-10-30,3.13
2014-11-06,3.21
2014-11-13,3.20
2014-11-20,3.17
2014-11-26,3.17
2014-12-04,3.10
2014-12-11,3.20
2014-12-18,3.09
2014-12-24,3.10
2014-12-31,3.15
2015-01-08,3.05
2015-01-15,2.98
2015-01-22,2.93
2015-01-29,2.98
2015-02-05,2.92
2015-02-12,2.99
2015-02-19,3.05
2015-02-26,3.07
2015-03-05,3.03
2015-03-12,3.10
2015-03-19,3.06
2015-03-26,2.97
2015-04-02,2.98
2015-04-09,2.93
2015-04-16,2.94
2015-04-23,2.92
2015-04-30,2.94
2015-05-07,3.02
2015-05-14,3.07
2015-05-21,3.05
2015-05-28,3.11
2015-06-04,3.08
2015-06-11,3.25
2015-06-18,3.23
2015-06-25,3.21
2015-07-02,3.24
2015-07-09,3.20
2015-07-16,3.25
2015-07-23,3.21
2015-07-30,3.17
2015-08-06,3.13
2015-08-13,3.17
2015-08-20,3.15
2015-08-27,3.06
2015-09-03,3.09
2015-09-10,3.10
2015-09-17,3.11
2015-09-24,3.08
2015-10-01,3.07
2015-10-08,2.99
2015-10-15,3.03
2015-10-22,2.98
2015-10-29,2.98
2015-11-05,3.09
2015-11-12,3.20
2015-11-19,3.18
2015-11-25,3.18
2015-12-03,3.16
2015-12-10,3.19
2015-12-17,3.22
2015-12-24,3.22
2015-12-31,3.24
2016-01-07,3.26
2016-01-14,3.19
2016-01-21,3.10
2016-01-28,3.07
2016-02-04,3.01
2016-02-11,2.95
2016-02-18,2.95
2016-02-25,2.93
2016-03-03,2.94
2016-03-10,2.96
2016-03-17,2.99
2016-03-24,2.96
2016-03-31,2.98
2016-04-07,2.88
2016-04-14,2.86
2016-04-21,2.85
2016-04-28,2.89
2016-05-05,2.86
2016-05-12,2.81
2016-05-19,2.81
2016-05-26,2.89
2016-06-02,2.92
2016-06-09,2.87
2016-06-16,2.81
2016-06-23,2.83
2016-06-30,2.78
2016-07-07,2.74
2016-07-14,2.72
2016-07-21,2.75
2016-07-28,2.78
2016-08-04,2.74
2016-08-11,2.76
2016-08-18,2.74
2016-08-25,2.74
2016-09-01,2.77
2016-09-08,2.76
2016-09-15,2.77
2016-09-22,2.76
2016-09-29,2.72
2016-10-06,2.72
2016-10-13,2.76
2016-10-20,2.79
2016-10-27,2.78
2016-11-03,2.84
2016-11-10,2.88
2016-11-17,3.14
2016-11-23,3.25
2016-12-01,3.34
2016-12-08,3.36
2016-12-15,3.37
2016-12-22,3.52
2016-12-29,3.55
2017-01-05,3.44
2017-01-12,3.37
2017-01-19,3.34
2017-01-26,3.40
2017-02-02,3.41
2017-02-09,3.39
2017-02-16,3.35
2017-02-23,3.37
2017-03-02,3.32
2017-03-09,3.42
2017-03-16,3.50
2017-03-23,3.44
2017-03-30,3.39
2017-04-06,3.36
2017-04-13,3.34
2017-04-20,3.23
2017-04-27,3.27
2017-05-04,3.27
2017-05-11,3.29
2017-05-18,3.27
2017-05-25,3.19
2017-06-01,3.19
2017-06-08,3.16
2017-06-15,3.18
2017-06-22,3.17
2017-06-29,3.17
2017-07-06,3.22
2017-07-13,3.29
2017-07-20,3.23
2017-07-27,3.20
2017-08-03,3.18
2017-08-10,3.18
2017-08-17,3.16
2017-08-24,3.16
2017-08-31,3.12
2017-09-07,3.08
2017-09-14,3.08
2017-09-21,3.13
2017-09-28,3.13
2017-10-05,3.15
2017-10-12,3.21
2017-10-19,3.19
2017-10-26,3.25
2017-11-02,3.27
2017-11-09,3.24
2017-11-16,3.31
2017-11-22,3.32
2017-11-30,3.30
2017-12-07,3.36
2017-12-14,3.36
2017-12-21,3.38
2017-12-28,3.44
2018-01-04,3.38
2018-01-11,3.44
2018-01-18,3.49
2018-01-25,3.62
2018-02-01,3.68
2018-02-08,3.77
2018-02-15,3.84
2018-02-22,3.85
2018-03-01,3.90
2018-03-08,3.94
2018-03-15,3.90
2018-03-22,3.91
2018-03-29,3.90
2018-04-05,3.87
2018-04-12,3.87
2018-04-19,3.94
2018-04-26,4.02
2018-05-03,4.03
2018-05-10,4.01
2018-05-17,4.08
2018-05-24,4.15
2018-05-31,4.06
2018-06-07,4.01
2018-06-14,4.07
2018-06-21,4.04
2018-06-28,4.04
2018-07-05,3.99
2018-07-12,4.02
2018-07-19,4.00
2018-07-26,4.02
2018-08-02,4.08
2018-08-09,4.05
2018-08-16,4.01
2018-08-23,3.98
2018-08-30,3.97
2018-09-06,3.99
2018-09-13,4.06
2018-09-20,4.11
2018-09-27,4.16
2018-10-04,4.15
2018-10-11,4.29
2018-10-18,4.26
2018-10-25,4.29
2018-11-01,4.23
2018-11-08,4.33
2018-11-15,4.36
2018-11-21,4.24
2018-11-29,4.25
2018-12-06,4.21
2018-12-13,4.07
2018-12-20,4.07
2018-12-27,4.01
2019-01-03,3.99
2019-01-10,3.89
2019-01-17,3.88
2019-01-24,3.88
2019-01-31,3.89
2019-02-07,3.84
2019-02-14,3.81
2019-02-21,3.78
2019-02-28,3.77
2019-03-07,3.83
2019-03-14,3.76
2019-03-21,3.71
2019-03-28,3.57
2019-04-04,3.56
2019-04-11,3.60
2019-04-18,3.62
2019-04-25,3.64
2019-05-02,3.60
2019-05-09,3.57
2019-05-16,3.53
2019-05-23,3.51
2019-05-30,3.46
2019-06-06,3.28
2019-06-13,3.26
2019-06-20,3.25
2019-06-27,3.16
2019-07-03,3.18
2019-07-11,3.22
2019-07-18,3.23
2019-07-25,3.18
